method,backend_requested,backend_used,repeat,mean_ms,min_ms,max_ms,series_shape,error
AMD_BLOCK,python,python,3,0.152467,0.106,0.2426,[128],
AUTOFORMER_BLOCK,python,python,3,0.026,0.0229,0.0304,[128],
CEEMDAN,python,python,2,25.4447,17.9855,32.9039,[128],
DELELSTM_BLOCK,python,python,3,0.112367,0.0957,0.1436,[128],
DLINEAR_BLOCK,python,python,3,0.0335,0.0239,0.0497,[128],
EMD,python,python,3,0.889867,0.7631,1.1368,[128],
FREQMOE_BLOCK,python,python,3,0.236367,0.1719,0.3121,[128],
GABOR_CLUSTER,python,python,3,2.171367,0.6333,5.1139,[128],
GABOR_CLUSTER,native,native,3,0.1094,0.0851,0.1493,[128],
INPARFORMER_BLOCK,python,python,3,0.092967,0.0805,0.1108,[128],
LEDDAM_BLOCK,python,python,3,0.0438,0.0368,0.0553,[128],
MA_BASELINE,python,python,3,0.103933,0.0928,0.1158,[128],
MA_BASELINE,native,native,3,0.021833,0.0166,0.0299,[128],
MEMD,python,python,2,32.3796,22.74,42.0192,"[128, 2]",
MOVING_AVERAGE_DECOMPOSITION_BLOCK,python,python,3,0.0537,0.0314,0.0876,[128],
MSSA,python,python,3,11.947433,9.2066,13.3471,"[128, 2]",
MSSA,native,native,3,1.464167,1.3835,1.5236,"[128, 2]",
MSTL,python,python,3,9.085533,5.4204,16.3959,[128],
MVMD,python,python,2,17.40435,17.22,17.5887,"[128, 2]",
NBEATS_INTERPRETABLE,python,python,2,3080.92695,2629.4126,3532.4413,[128],
PARSIMONY_BLOCK,python,python,3,0.119133,0.0711,0.2003,[128],
ROBUST_STL,python,python,3,6.083633,6.0748,6.0915,[128],
SSA,python,python,3,3.655767,3.6446,3.6626,[128],
SSA,native,native,3,0.540133,0.5086,0.5897,[128],
STD,python,python,3,0.0959,0.0794,0.1218,[128],
STD,native,native,3,0.021767,0.016,0.0307,[128],
STDR,python,python,3,0.1152,0.1086,0.1225,[128],
STDR,native,native,3,0.018567,0.0163,0.0215,[128],
STL,python,python,3,0.952133,0.9354,0.9829,[128],
ST_MTM_BLOCK,python,python,3,0.081267,0.0668,0.1055,[128],
TIMEKAN_BLOCK,python,python,3,0.172933,0.1545,0.1984,[128],
TIMES2D_BLOCK,python,python,3,0.092633,0.0892,0.0984,[128],
VMD,python,python,3,32.609433,32.2859,33.1067,[128],
VMD,native,native,3,6.054467,6.004,6.1466,[128],
WAVEFORM_BLOCK,python,python,3,0.106933,0.0598,0.1892,[128],
WAVELET,python,python,3,0.0515,0.0459,0.0602,[128],
WAVELETMIXER_BLOCK,python,python,3,0.0413,0.038,0.0448,[128],
XPATCH_BLOCK,python,python,3,0.049167,0.0433,0.0589,[128],
