date,pair,feature,value
2026-05-22,KO__PEP,cycle_amplitude,0.13240392686762226
2026-05-22,XOM__CVX,cycle_amplitude,0.19271959501689867
2026-05-22,MA__V,cycle_amplitude,0.23748590886077303
2026-05-22,SPY__QQQ,cycle_amplitude,0.053558639034948945
2026-05-22,GLD__SLV,cycle_amplitude,0.174453295939777
2026-05-26,KO__PEP,cycle_amplitude,0.13240392686762226
2026-05-26,XOM__CVX,cycle_amplitude,0.19271959501689867
2026-05-26,MA__V,cycle_amplitude,0.23748590886077303
2026-05-26,SPY__QQQ,cycle_amplitude,0.053558639034948945
2026-05-26,GLD__SLV,cycle_amplitude,0.174453295939777
2026-05-27,KO__PEP,cycle_amplitude,0.13240392686762226
2026-05-27,XOM__CVX,cycle_amplitude,0.19271959501689867
2026-05-27,MA__V,cycle_amplitude,0.23748590886077303
2026-05-27,SPY__QQQ,cycle_amplitude,0.053558639034948945
2026-05-27,GLD__SLV,cycle_amplitude,0.174453295939777
2026-05-28,KO__PEP,cycle_amplitude,0.13240392686762226
2026-05-28,XOM__CVX,cycle_amplitude,0.19271959501689867
2026-05-28,MA__V,cycle_amplitude,0.23748590886077303
2026-05-28,SPY__QQQ,cycle_amplitude,0.053558639034948945
2026-05-28,GLD__SLV,cycle_amplitude,0.174453295939777
2026-05-29,KO__PEP,cycle_amplitude,0.13240392686762226
2026-05-29,XOM__CVX,cycle_amplitude,0.19271959501689867
2026-05-29,MA__V,cycle_amplitude,0.23748590886077303
2026-05-29,SPY__QQQ,cycle_amplitude,0.053558639034948945
2026-05-29,GLD__SLV,cycle_amplitude,0.174453295939777
2026-05-22,KO__PEP,residual_z,-1.0315206608162983
2026-05-22,XOM__CVX,residual_z,-1.068329500001533
2026-05-22,MA__V,residual_z,-2.489034088184934
2026-05-22,SPY__QQQ,residual_z,-1.9290038058122905
2026-05-22,GLD__SLV,residual_z,-1.8477706122084911
2026-05-26,KO__PEP,residual_z,-1.0315206608162983
2026-05-26,XOM__CVX,residual_z,-1.068329500001533
2026-05-26,MA__V,residual_z,-2.489034088184934
2026-05-26,SPY__QQQ,residual_z,-1.9290038058122905
2026-05-26,GLD__SLV,residual_z,-1.8477706122084911
2026-05-27,KO__PEP,residual_z,-1.0315206608162983
2026-05-27,XOM__CVX,residual_z,-1.068329500001533
2026-05-27,MA__V,residual_z,-2.489034088184934
2026-05-27,SPY__QQQ,residual_z,-1.9290038058122905
2026-05-27,GLD__SLV,residual_z,-1.8477706122084911
2026-05-28,KO__PEP,residual_z,-1.0315206608162983
2026-05-28,XOM__CVX,residual_z,-1.068329500001533
2026-05-28,MA__V,residual_z,-2.489034088184934
2026-05-28,SPY__QQQ,residual_z,-1.9290038058122905
2026-05-28,GLD__SLV,residual_z,-1.8477706122084911
2026-05-29,KO__PEP,residual_z,-1.0315206608162983
2026-05-29,XOM__CVX,residual_z,-1.068329500001533
2026-05-29,MA__V,residual_z,-2.489034088184934
2026-05-29,SPY__QQQ,residual_z,-1.9290038058122905
2026-05-29,GLD__SLV,residual_z,-1.8477706122084911
2026-05-22,KO__PEP,residual_abs_z,1.0315206608162983
2026-05-22,XOM__CVX,residual_abs_z,1.068329500001533
2026-05-22,MA__V,residual_abs_z,2.489034088184934
2026-05-22,SPY__QQQ,residual_abs_z,1.9290038058122905
