variant,method,feature,asset,observations,non_null,coverage,first_valid,last_valid
STL_p42_tw126_s126,STL,trend,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,cycle,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,residual,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,trend_slope,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,trend_acceleration,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,trend_strength,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,trend_gap,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,cycle_z,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,cycle_slope,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,cycle_amplitude,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,cycle_position,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,cycle_turn_up,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,residual_z,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,residual_abs_z,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,residual_vol,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,reconstruction_error,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,component_stability,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,selected_period,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,volume_trend,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,volume_cycle,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,volume_residual,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,volume_trend_slope,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
