strategy,asset,signal_date,fill_date,action,previous_weight,new_weight,delta_weight,fill_price
detime_STL_p42_tw126_s126_trend_following,GOOG,2015-12-31,2016-01-04,buy,0.0,0.3904573189092101,0.3904573189092101,743.0
detime_STL_p42_tw126_s126_trend_following,GOOG,2016-07-01,2016-07-05,sell,0.3904573189092101,0.0,-0.3904573189092101,696.0599980000001
detime_STL_p42_tw126_s126_trend_following,GOOG,2017-07-03,2017-07-05,buy,0.0,0.3928883056339474,0.3928883056339474,901.76001
detime_STL_p42_tw126_s126_trend_macd,GOOG,2015-12-31,2016-01-04,buy,0.0,1.0,1.0,743.0
detime_STL_p42_tw126_s126_trend_macd,GOOG,2016-01-22,2016-01-25,sell,1.0,0.0,-1.0,723.580017
detime_STL_p42_tw126_s126_trend_macd,GOOG,2017-07-03,2017-07-05,buy,0.0,1.0,1.0,901.76001
detime_STL_p42_tw126_s126_trend_macd,GOOG,2017-07-24,2017-07-25,sell,1.0,0.0,-1.0,953.809998
detime_STL_p42_tw126_s126_trend_crossover,GOOG,2015-12-31,2016-01-04,buy,0.0,1.0,1.0,743.0
detime_STL_p42_tw126_s126_trend_crossover,GOOG,2016-07-01,2016-07-05,sell,1.0,0.0,-1.0,696.0599980000001
detime_STL_p42_tw126_s126_trend_crossover,GOOG,2017-07-03,2017-07-05,buy,0.0,1.0,1.0,901.76001
detime_SSA_p42_tw126_s126_residual_bollinger,GOOG,2017-07-03,2017-07-05,buy,0.0,1.0,1.0,901.76001
detime_SSA_p42_tw126_s126_trend_macd,GOOG,2015-12-31,2016-01-04,buy,0.0,1.0,1.0,743.0
detime_SSA_p42_tw126_s126_trend_macd,GOOG,2016-01-22,2016-01-25,sell,1.0,0.0,-1.0,723.580017
detime_SSA_p42_tw126_s126_trend_macd,GOOG,2017-07-03,2017-07-05,buy,0.0,1.0,1.0,901.76001
detime_SSA_p42_tw126_s126_trend_macd,GOOG,2017-07-24,2017-07-25,sell,1.0,0.0,-1.0,953.809998
detime_SSA_p42_tw126_s126_trend_crossover,GOOG,2015-12-31,2016-01-04,buy,0.0,1.0,1.0,743.0
detime_SSA_p42_tw126_s126_trend_crossover,GOOG,2016-07-01,2016-07-05,sell,1.0,0.0,-1.0,696.0599980000001
detime_SSA_p42_tw126_s126_trend_crossover,GOOG,2017-07-03,2017-07-05,buy,0.0,1.0,1.0,901.76001
