strategy,strategy_family,decomposition_variant,total_return,cagr,sharpe,max_drawdown,calmar,volatility,hit_rate,trade_win_rate,average_trade_directional_return,orders,round_trips,median_bars_held,average_turnover,average_gross_exposure,fee_bps,slippage_bps,periods_per_year,execution_model,spec_method,spec_period,spec_train_window,spec_step,spec_z_window,spec_label,spec_role,spec_name
detime_SSA_p42_tw126_s126_residual_bollinger,residual_bollinger,SSA_p42_tw126_s126,0.16092386698163796,0.03800855995651187,0.7786877070649321,-0.07169233230769279,0.5301621349600513,0.04947893963095147,0.06845238095238096,,,1.0,0.0,,0.001984126984126984,0.125,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,SSA,42,126,126,63,,custom_grid,SSA_p42_tw126_s126
detime_STL_p42_tw126_s126_trend_following,trend_following,STL_p42_tw126_s126,0.03838187830025808,0.009460372898830949,0.2598283058254295,-0.0600495172972626,0.1575428633672332,0.03920455011684469,0.13194444444444445,0.0,-0.06317631493943465,3.0,1.0,126.0,0.001223273458272057,0.09824918680117652,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,STL,42,126,126,63,,custom_grid,STL_p42_tw126_s126
detime_STL_p42_tw126_s126_trend_crossover,trend_crossover,STL_p42_tw126_s126,0.0868231871358427,0.021032870819982064,0.258084991940575,-0.1486934659018483,0.14145121100254493,0.10025420285563265,0.13194444444444445,0.0,-0.06317631493943465,3.0,1.0,126.0,0.002976190476190476,0.2509920634920635,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,STL,42,126,126,63,,custom_grid,STL_p42_tw126_s126
detime_SSA_p42_tw126_s126_trend_crossover,trend_crossover,SSA_p42_tw126_s126,0.0868231871358427,0.021032870819982064,0.258084991940575,-0.1486934659018483,0.14145121100254493,0.10025420285563265,0.13194444444444445,0.0,-0.06317631493943465,3.0,1.0,126.0,0.002976190476190476,0.2509920634920635,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,SSA,42,126,126,63,,custom_grid,SSA_p42_tw126_s126
detime_STL_p42_tw126_s126_trend_macd,trend_macd,STL_p42_tw126_s126,0.026479514407268034,0.006555141643600049,0.18599501283893766,-0.07748680564024191,0.08459687542204875,0.039296233953986015,0.018849206349206348,0.5,0.015791592706114244,4.0,2.0,14.0,0.00496031746031746,0.028769841269841268,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,STL,42,126,126,63,,custom_grid,STL_p42_tw126_s126
detime_SSA_p42_tw126_s126_trend_macd,trend_macd,SSA_p42_tw126_s126,0.026479514407268034,0.006555141643600049,0.18599501283893766,-0.07748680564024191,0.08459687542204875,0.039296233953986015,0.018849206349206348,0.5,0.015791592706114244,4.0,2.0,14.0,0.00496031746031746,0.028769841269841268,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,SSA,42,126,126,63,,custom_grid,SSA_p42_tw126_s126
detime_STL_p42_tw126_s126_hybrid_regime,hybrid_regime,STL_p42_tw126_s126,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,STL,42,126,126,63,,custom_grid,STL_p42_tw126_s126
detime_STL_p42_tw126_s126_residual_bollinger,residual_bollinger,STL_p42_tw126_s126,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,STL,42,126,126,63,,custom_grid,STL_p42_tw126_s126
detime_SSA_p42_tw126_s126_trend_following,trend_following,SSA_p42_tw126_s126,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,SSA,42,126,126,63,,custom_grid,SSA_p42_tw126_s126
detime_SSA_p42_tw126_s126_oscillation_reversion,oscillation_reversion,SSA_p42_tw126_s126,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,SSA,42,126,126,63,,custom_grid,SSA_p42_tw126_s126
detime_SSA_p42_tw126_s126_hybrid_regime,hybrid_regime,SSA_p42_tw126_s126,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,SSA,42,126,126,63,,custom_grid,SSA_p42_tw126_s126
detime_STL_p42_tw126_s126_oscillation_reversion,oscillation_reversion,STL_p42_tw126_s126,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,STL,42,126,126,63,,custom_grid,STL_p42_tw126_s126
