strategy,asset,signal_date,fill_date,action,previous_weight,new_weight,delta_weight,fill_price
detime_STL_p42_tw126_s126_trend_following,SPY,2020-01-02,2020-01-03,buy,0.0,0.4170982973903342,0.4170982973903342,293.4978019068177
detime_STL_p42_tw126_s126_trend_following,SPY,2020-07-02,2020-07-06,sell_or_short,0.4170982973903342,0.35961966372813114,-0.05747863366220307,292.10019917073765
detime_STL_p42_tw126_s126_trend_following,SPY,2020-12-31,2021-01-04,buy,0.35961966372813114,0.3882532068726038,0.02863354314447264,349.3887700821715
detime_STL_p42_tw126_s126_trend_following,SPY,2021-07-02,2021-07-06,sell_or_short,0.3882532068726038,0.3003880187907693,-0.08786518808183447,406.4685771019908
detime_STL_p42_tw126_s126_trend_following,SPY,2021-12-31,2022-01-03,buy,0.3003880187907693,0.3437551024162581,0.0433670836254888,449.3143224260172
detime_STL_p42_tw126_s126_trend_following,SPY,2022-07-05,2022-07-06,sell,0.3437551024162581,0.0,-0.3437551024162581,363.1425872465519
detime_STL_p42_tw126_s126_trend_following,SPY,2023-07-06,2023-07-07,buy,0.0,0.36969051841633693,0.36969051841633693,423.664201015191
detime_STL_p42_tw126_s126_trend_following,SPY,2024-01-04,2024-01-05,buy,0.36969051841633693,0.45241245827264415,0.08272193985630721,454.9694028721213
detime_STL_p42_tw126_s126_trend_following,SPY,2024-07-08,2024-07-09,sell_or_short,0.45241245827264415,0.42566455961394317,-0.026747898658700975,544.7958024014986
detime_STL_p42_tw126_s126_trend_following,SPY,2025-01-06,2025-01-07,sell_or_short,0.42566455961394317,0.3121263306549543,-0.11353822895898885,588.877548048508
detime_STL_p42_tw126_s126_trend_following,SPY,2025-07-10,2025-07-11,buy,0.3121263306549543,0.36082334609720684,0.04869701544225252,617.5022136064131
detime_STL_p42_tw126_s126_trend_following,SPY,2026-01-08,2026-01-09,sell_or_short,0.36082334609720684,0.27458405000596076,-0.08623929609124609,688.7489932725086
detime_STL_p42_tw126_s126_oscillation_reversion,SPY,2020-12-31,2021-01-04,sell_or_short,0.0,-0.6285240198028775,-0.6285240198028775,349.3887700821715
detime_STL_p42_tw126_s126_oscillation_reversion,SPY,2021-07-02,2021-07-06,cover,-0.6285240198028775,0.0,0.6285240198028775,406.4685771019908
detime_STL_p42_tw126_s126_hybrid_regime,SPY,2020-12-31,2021-01-04,sell_or_short,0.0,-0.6285240198028775,-0.6285240198028775,349.3887700821715
detime_STL_p42_tw126_s126_hybrid_regime,SPY,2021-07-02,2021-07-06,cover,-0.6285240198028775,0.0,0.6285240198028775,406.4685771019908
detime_STL_p42_tw126_s126_trend_macd,SPY,2020-01-02,2020-01-03,buy,0.0,1.0,1.0,293.4978019068177
detime_STL_p42_tw126_s126_trend_macd,SPY,2020-01-23,2020-01-24,sell,1.0,0.0,-1.0,303.80617720247466
detime_STL_p42_tw126_s126_trend_macd,SPY,2020-07-02,2020-07-06,buy,0.0,1.0,1.0,292.10019917073765
detime_STL_p42_tw126_s126_trend_macd,SPY,2020-07-23,2020-07-24,sell,1.0,0.0,-1.0,296.32888854271727
detime_STL_p42_tw126_s126_trend_macd,SPY,2020-12-31,2021-01-04,buy,0.0,1.0,1.0,349.3887700821715
detime_STL_p42_tw126_s126_trend_macd,SPY,2021-01-22,2021-01-25,sell,1.0,0.0,-1.0,357.1714317593944
detime_STL_p42_tw126_s126_trend_macd,SPY,2021-12-31,2022-01-03,buy,0.0,1.0,1.0,449.3143224260172
detime_STL_p42_tw126_s126_trend_macd,SPY,2022-01-21,2022-01-24,sell,1.0,0.0,-1.0,407.5525063368311
detime_STL_p42_tw126_s126_trend_macd,SPY,2023-01-03,2023-01-04,buy,0.0,1.0,1.0,367.3345015753635
detime_STL_p42_tw126_s126_trend_macd,SPY,2023-01-24,2023-01-25,sell,1.0,0.0,-1.0,379.5763915316237
detime_STL_p42_tw126_s126_trend_macd,SPY,2023-07-06,2023-07-07,buy,0.0,1.0,1.0,423.664201015191
detime_STL_p42_tw126_s126_trend_macd,SPY,2023-07-26,2023-07-27,sell,1.0,0.0,-1.0,443.35846818342566
detime_STL_p42_tw126_s126_trend_macd,SPY,2024-01-04,2024-01-05,buy,0.0,1.0,1.0,454.9694028721213
detime_STL_p42_tw126_s126_trend_macd,SPY,2024-01-25,2024-01-26,sell,1.0,0.0,-1.0,474.5310679998513
detime_STL_p42_tw126_s126_trend_macd,SPY,2024-07-08,2024-07-09,buy,0.0,1.0,1.0,544.7958024014986
detime_STL_p42_tw126_s126_trend_macd,SPY,2024-07-26,2024-07-29,sell,1.0,0.0,-1.0,534.7669398202207
detime_STL_p42_tw126_s126_trend_macd,SPY,2025-01-06,2025-01-07,buy,0.0,1.0,1.0,588.877548048508
detime_STL_p42_tw126_s126_trend_macd,SPY,2025-01-28,2025-01-29,sell,1.0,0.0,-1.0,595.0874967960807
detime_STL_p42_tw126_s126_trend_macd,SPY,2025-07-10,2025-07-11,buy,0.0,1.0,1.0,617.5022136064131
detime_STL_p42_tw126_s126_trend_macd,SPY,2025-07-30,2025-07-31,sell,1.0,0.0,-1.0,634.0816662163586
detime_STL_p42_tw126_s126_trend_crossover,SPY,2020-01-02,2020-01-03,buy,0.0,1.0,1.0,293.4978019068177
