strategy,asset,side,entry_signal_date,entry_fill_date,exit_signal_date,exit_fill_date,entry_price,exit_price,bars_held,entry_weight,directional_return,approx_weighted_return_after_cost
detime_STL_p42_tw126_s126_trend_following,SPY,long,2020-01-02,2020-01-03,2022-07-05,2022-07-06,293.4978019068177,363.1425872465519,630,0.4170982973903342,0.23729235751430133,0.09868226949478033
detime_STL_p42_tw126_s126_oscillation_reversion,SPY,short,2020-12-31,2021-01-04,2021-07-02,2021-07-06,349.3887700821715,406.4685771019908,126,-0.6285240198028775,-0.16337046839368896,-0.10312223032574236
detime_STL_p42_tw126_s126_hybrid_regime,SPY,short,2020-12-31,2021-01-04,2021-07-02,2021-07-06,349.3887700821715,406.4685771019908,126,-0.6285240198028775,-0.16337046839368896,-0.10312223032574236
detime_STL_p42_tw126_s126_trend_macd,SPY,long,2020-01-02,2020-01-03,2020-01-23,2020-01-24,293.4978019068177,303.80617720247466,14,1.0,0.0351224957348395,0.0344224957348395
detime_STL_p42_tw126_s126_trend_macd,SPY,long,2020-07-02,2020-07-06,2020-07-23,2020-07-24,292.10019917073765,296.32888854271727,14,1.0,0.01447684521949899,0.013776845219498991
detime_STL_p42_tw126_s126_trend_macd,SPY,long,2020-12-31,2021-01-04,2021-01-22,2021-01-25,349.3887700821715,357.1714317593944,14,1.0,0.02227507677305285,0.02157507677305285
detime_STL_p42_tw126_s126_trend_macd,SPY,long,2021-12-31,2022-01-03,2022-01-21,2022-01-24,449.3143224260172,407.5525063368311,14,1.0,-0.09294565965246415,-0.09364565965246416
detime_STL_p42_tw126_s126_trend_macd,SPY,long,2023-01-03,2023-01-04,2023-01-24,2023-01-25,367.3345015753635,379.5763915316237,14,1.0,0.03332627320265091,0.032626273202650914
detime_STL_p42_tw126_s126_trend_macd,SPY,long,2023-07-06,2023-07-07,2023-07-26,2023-07-27,423.664201015191,443.35846818342566,14,1.0,0.04648555889556616,0.04578555889556616
detime_STL_p42_tw126_s126_trend_macd,SPY,long,2024-01-04,2024-01-05,2024-01-25,2024-01-26,454.9694028721213,474.5310679998513,14,1.0,0.04299556190865039,0.04229556190865039
detime_STL_p42_tw126_s126_trend_macd,SPY,long,2024-07-08,2024-07-09,2024-07-26,2024-07-29,544.7958024014986,534.7669398202207,14,1.0,-0.018408479905810404,-0.019108479905810404
detime_STL_p42_tw126_s126_trend_macd,SPY,long,2025-01-06,2025-01-07,2025-01-28,2025-01-29,588.877548048508,595.0874967960807,14,1.0,0.010545399070064798,0.009845399070064799
detime_STL_p42_tw126_s126_trend_macd,SPY,long,2025-07-10,2025-07-11,2025-07-30,2025-07-31,617.5022136064131,634.0816662163586,14,1.0,0.02684921971877019,0.02614921971877019
detime_STL_p42_tw126_s126_trend_crossover,SPY,long,2020-01-02,2020-01-03,2022-07-05,2022-07-06,293.4978019068177,363.1425872465519,630,1.0,0.23729235751430133,0.23659235751430133
detime_SSA_p42_tw126_s126_trend_following,SPY,long,2020-01-02,2020-01-03,2022-07-05,2022-07-06,293.4978019068177,363.1425872465519,630,0.42366822895118184,0.23729235751430133,0.10023666509146888
detime_SSA_p42_tw126_s126_oscillation_reversion,SPY,short,2020-01-02,2020-01-03,2021-12-31,2022-01-03,293.4978019068177,449.3143224260172,504,-0.6443924194868987,-0.5308950169537199,-0.3425557991619865
detime_SSA_p42_tw126_s126_hybrid_regime,SPY,short,2020-01-02,2020-01-03,2021-12-31,2022-01-03,293.4978019068177,449.3143224260172,504,-0.6443924194868987,-0.5308950169537199,-0.3425557991619865
detime_SSA_p42_tw126_s126_trend_macd,SPY,long,2019-07-03,2019-07-05,2019-07-24,2019-07-25,269.24755717482327,272.415816486124,14,1.0,0.011767086559836715,0.011067086559836715
detime_SSA_p42_tw126_s126_trend_macd,SPY,long,2020-01-02,2020-01-03,2020-01-23,2020-01-24,293.4978019068177,303.80617720247466,14,1.0,0.0351224957348395,0.0344224957348395
detime_SSA_p42_tw126_s126_trend_macd,SPY,long,2020-07-23,2020-07-24,2021-01-22,2021-01-25,296.32888854271727,357.1714317593944,126,1.0,0.20532099828635642,0.2046209982863564
detime_SSA_p42_tw126_s126_trend_macd,SPY,long,2021-07-02,2021-07-06,2021-07-23,2021-07-26,406.4685771019908,411.6504794066389,14,1.0,0.01274859262576622,0.01204859262576622
detime_SSA_p42_tw126_s126_trend_macd,SPY,long,2023-07-06,2023-07-07,2023-07-26,2023-07-27,423.664201015191,443.35846818342566,14,1.0,0.04648555889556616,0.04578555889556616
