method,feature,asset,observations,non_null,coverage,first_valid,last_valid
STL,trend,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,cycle,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,residual,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,trend_slope,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,trend_acceleration,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,trend_strength,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,trend_gap,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,cycle_z,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,cycle_slope,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,cycle_amplitude,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,cycle_position,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,cycle_turn_up,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,residual_z,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,residual_abs_z,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,residual_vol,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,reconstruction_error,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,component_stability,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,selected_period,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,volume_trend,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,volume_cycle,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,volume_residual,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,volume_trend_slope,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,volume_trend_acceleration,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,volume_trend_strength,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,volume_trend_gap,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,volume_cycle_z,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,volume_cycle_slope,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,volume_cycle_amplitude,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,volume_cycle_position,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,volume_cycle_turn_up,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,volume_residual_z,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,volume_residual_abs_z,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,volume_residual_vol,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,volume_reconstruction_error,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,volume_component_stability,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,volume_selected_period,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,volume_participation,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
STL,volume_shock,GOOG,1008,829,0.8224206349206349,2014-09-18,2018-01-02
