strategy,asset,signal_date,fill_date,action,previous_weight,new_weight,delta_weight,fill_price
detime_STL_trend_following,GOOG,2015-03-20,2015-03-23,buy,0.0,0.3439105092882915,0.3439105092882915,558.895569
detime_STL_trend_following,GOOG,2015-04-21,2015-04-22,sell_or_short,0.3439105092882915,0.2703092464227725,-0.07360126286551899,532.936829
detime_STL_trend_following,GOOG,2015-05-20,2015-05-21,sell,0.2703092464227725,0.0,-0.2703092464227725,537.950012
detime_STL_trend_following,GOOG,2015-08-19,2015-08-20,buy,0.0,0.36485193855538195,0.36485193855538195,655.460022
detime_STL_trend_following,GOOG,2015-09-18,2015-09-21,sell_or_short,0.36485193855538195,0.3126545934744269,-0.05219734508095503,634.400024
detime_STL_trend_following,GOOG,2015-10-19,2015-10-20,sell,0.3126545934744269,0.0,-0.3126545934744269,664.039978
detime_STL_trend_following,GOOG,2015-12-17,2015-12-18,buy,0.0,0.402542314417693,0.402542314417693,746.51001
detime_STL_trend_following,GOOG,2016-01-20,2016-01-21,sell,0.402542314417693,0.0,-0.402542314417693,702.179993
detime_STL_trend_following,GOOG,2016-09-19,2016-09-20,buy,0.0,0.3812624862110443,0.3812624862110443,769.0
detime_STL_trend_following,GOOG,2016-10-18,2016-10-19,sell_or_short,0.3812624862110443,0.26980436874226466,-0.11145811746877965,798.23999
detime_STL_trend_following,GOOG,2016-11-16,2016-11-17,sell,0.26980436874226466,0.0,-0.26980436874226466,766.919983
detime_STL_trend_following,GOOG,2017-02-17,2017-02-21,buy,0.0,0.3483420827770109,0.3483420827770109,828.659973
detime_STL_trend_following,GOOG,2017-03-21,2017-03-22,sell_or_short,0.3483420827770109,0.32964240471307904,-0.018699678063931857,831.909973
detime_STL_trend_following,GOOG,2017-04-20,2017-04-21,sell_or_short,0.32964240471307904,0.29607522222657245,-0.033567182486506586,842.8800050000001
detime_STL_trend_following,GOOG,2017-05-19,2017-05-22,buy,0.29607522222657245,0.3850585297040847,0.08898330747751226,935.0
detime_STL_trend_following,GOOG,2017-06-20,2017-06-21,buy,0.3850585297040847,0.45902871138959933,0.07397018168551461,953.640015
detime_STL_trend_following,GOOG,2017-07-20,2017-07-21,sell_or_short,0.45902871138959933,0.2856487362508022,-0.1733799751387971,962.25
detime_STL_trend_following,GOOG,2017-08-18,2017-08-21,sell,0.2856487362508022,0.0,-0.2856487362508022,910.0
detime_STL_trend_following,GOOG,2017-11-16,2017-11-17,buy,0.0,0.39124945106911097,0.39124945106911097,1034.01001
detime_STL_trend_following,GOOG,2017-12-18,2017-12-19,sell_or_short,0.39124945106911097,0.34511151816080177,-0.0461379329083092,1075.199951
detime_STL_oscillation_reversion,GOOG,2015-02-19,2015-02-20,sell_or_short,0.0,-0.8028864197074983,-0.8028864197074983,541.642944
detime_STL_oscillation_reversion,GOOG,2015-03-20,2015-03-23,buy,-0.8028864197074983,-0.46261971989054335,0.34026669981695495,558.895569
detime_STL_oscillation_reversion,GOOG,2015-04-21,2015-04-22,cover,-0.46261971989054335,0.0,0.46261971989054335,532.936829
detime_STL_oscillation_reversion,GOOG,2015-09-18,2015-09-21,buy,0.0,0.7003601489586841,0.7003601489586841,634.400024
detime_STL_oscillation_reversion,GOOG,2015-10-19,2015-10-20,sell_or_short,0.7003601489586841,0.29113470873010067,-0.4092254402285835,664.039978
detime_STL_oscillation_reversion,GOOG,2015-11-17,2015-11-18,sell,0.29113470873010067,0.0,-0.29113470873010067,727.580017
detime_STL_oscillation_reversion,GOOG,2016-03-21,2016-03-22,sell_or_short,0.0,-0.6877726572131981,-0.6877726572131981,737.460022
detime_STL_oscillation_reversion,GOOG,2016-04-20,2016-04-21,buy,-0.6877726572131981,-0.3834378601653473,0.3043347970478508,755.380005
detime_STL_oscillation_reversion,GOOG,2016-05-19,2016-05-20,cover,-0.3834378601653473,0.0,0.3834378601653473,701.619995
detime_STL_hybrid_regime,GOOG,2015-02-19,2015-02-20,sell_or_short,0.0,-0.8028864197074983,-0.8028864197074983,541.642944
detime_STL_hybrid_regime,GOOG,2015-03-20,2015-03-23,buy,-0.8028864197074983,-0.46261971989054335,0.34026669981695495,558.895569
detime_STL_hybrid_regime,GOOG,2015-04-21,2015-04-22,cover,-0.46261971989054335,0.0,0.46261971989054335,532.936829
detime_STL_hybrid_regime,GOOG,2015-09-18,2015-09-21,buy,0.0,0.7003601489586841,0.7003601489586841,634.400024
detime_STL_hybrid_regime,GOOG,2015-10-19,2015-10-20,sell_or_short,0.7003601489586841,0.29113470873010067,-0.4092254402285835,664.039978
detime_STL_hybrid_regime,GOOG,2015-11-17,2015-11-18,sell,0.29113470873010067,0.0,-0.29113470873010067,727.580017
detime_STL_hybrid_regime,GOOG,2016-03-21,2016-03-22,sell_or_short,0.0,-0.6877726572131981,-0.6877726572131981,737.460022
detime_STL_hybrid_regime,GOOG,2016-04-20,2016-04-21,buy,-0.6877726572131981,-0.3834378601653473,0.3043347970478508,755.380005
detime_STL_hybrid_regime,GOOG,2016-05-19,2016-05-20,cover,-0.3834378601653473,0.0,0.3834378601653473,701.619995
