strategy,asset,side,entry_signal_date,entry_fill_date,exit_signal_date,exit_fill_date,entry_price,exit_price,bars_held,entry_weight,directional_return,approx_weighted_return_after_cost
detime_STL_trend_following,GOOG,long,2015-03-20,2015-03-23,2015-05-20,2015-05-21,558.895569,537.950012,42,0.3439105092882915,-0.03747669182183122,-0.013129365527388127
detime_STL_trend_following,GOOG,long,2015-08-19,2015-08-20,2015-10-19,2015-10-20,655.460022,664.039978,42,0.36485193855538195,0.013089976065695286,0.004520506786223709
detime_STL_trend_following,GOOG,long,2015-12-17,2015-12-18,2016-01-20,2016-01-21,746.51001,702.179993,21,0.402542314417693,-0.059383017516402736,-0.024185956928251547
detime_STL_trend_following,GOOG,long,2016-09-19,2016-09-20,2016-11-16,2016-11-17,769.0,766.919983,42,0.3812624862110443,-0.002704833550065011,-0.0012981353044325622
detime_STL_trend_following,GOOG,long,2017-02-17,2017-02-21,2017-08-18,2017-08-21,828.659973,910.0,126,0.3483420827770109,0.09815850849598107,0.03394889983383106
detime_STL_oscillation_reversion,GOOG,short,2015-02-19,2015-02-20,2015-04-21,2015-04-22,541.642944,532.936829,42,-0.8028864197074983,0.016073531643754024,0.0123431997797136
detime_STL_oscillation_reversion,GOOG,long,2015-09-18,2015-09-21,2015-11-17,2015-11-18,634.400024,727.580017,42,0.7003601489586841,0.14687892414077197,0.10237789308585125
detime_STL_oscillation_reversion,GOOG,short,2016-03-21,2016-03-22,2016-05-19,2016-05-20,737.460022,701.619995,42,-0.6877726572131981,0.04859928122313861,0.03294381592544029
detime_STL_hybrid_regime,GOOG,short,2015-02-19,2015-02-20,2015-04-21,2015-04-22,541.642944,532.936829,42,-0.8028864197074983,0.016073531643754024,0.0123431997797136
detime_STL_hybrid_regime,GOOG,long,2015-09-18,2015-09-21,2015-11-17,2015-11-18,634.400024,727.580017,42,0.7003601489586841,0.14687892414077197,0.10237789308585125
detime_STL_hybrid_regime,GOOG,short,2016-03-21,2016-03-22,2016-05-19,2016-05-20,737.460022,701.619995,42,-0.6877726572131981,0.04859928122313861,0.03294381592544029
